iter	Logloss
0	0.6874509521
1	0.6819712391
2	0.677473068633	0.670188136344	0.6646766215	5	0.6621099446	6	0.6564659917	7	0.6514373048	8	0.6439367939	9	0.6418164911010	0.6338770921111	0.6291650711112	0.6245628151113	0.6195509681414	0.61818095115	0.610629886816	0.6086908632
17	0.6046311258
18	0.6003842171
19	0.5963716686220	0.5929476999
21	0.5895100716
22	0.5858580538
23	0.5825061922
24	0.5788288644
25	0.5751498751
26	0.5715536992
27	0.5682544977
28	0.5641806624
29	0.5611027088
30	0.5575838451
31	0.5552370488
32	0.5521348939
33	0.5487760081
34	0.5459785202
35	0.5427070286
36	0.5397996917
37	0.5368864578
38	0.5344465967
39	0.5316038826
40	0.5290819297
41	0.5265377232
42	0.5239730223
43	0.5215668463
44	0.5184524064
45	0.5160954083
46	0.513807023
47	0.511347422
48	0.5089134396
49	0.506188762
50	0.503381848
51	0.5010577204
52	0.4983142174
53	0.4963367087
54	0.4943132591
55	0.49210682
56	0.489680306
57	0.4878451348
58	0.485787218
59	0.4837412706
60	0.4813577697
61	0.479420668
62	0.4775833013
63	0.4759297807
64	0.4741858629
65	0.4720788398
66	0.4706904863
67	0.4686889924
68	0.4667180911
69	0.4656016973
70	0.4640757846
71	71	0.4555873872	0.4610381188
73	73	0.45165874	0.74	0.44998675	0.75	0.4487212535
76	0.4472038223
77	0.4459084017
78	0.4445084896
79	0.4430988064
80	0.4416470818
81	0.4401728493
82	0.4386556167
83	0.4374053652
84	0.4361634417
85	0.4351942295
86	0.4335048442
87	0.4321354231
88	0.4305675135
89	0.4289447238
90	0.42791	0.43391	0.42792	0.43292	0.42593	0.43193	0.42394	0.42994	0.42295	0.42895	0.42196	0.42796	0.42097	0.42697	0.41998	0.4298	0.417999	0.4299	0.4166100	0.4100	0.415101	0.421741633
102	0.420102	0.41103	0.419103	0.41104	0.418104	0.41105	0.4172552672
106	0.41106	0.418107	0.4148947486
108	0.4139374869
109	0.4130709255
110	0.4123697705
111	0.411111	0.40112	0.410112	0.40113	0.410113	0.40114	0.4094620221
115	0.4082641901
116	0.4070090267
117	0.4061510765
118	0.4050775735
119	0.4042392798
120	0.4033307789
121	0.4026431654
122	0.4014548887
123	0.4003607498
124	0.3996755101
125	0.3990485975
126	0.3981786884
127	0.3974928459
128	0.3969067128
129	0.3963304407
130	0.3956526087
131	0.3949429815
132	0.3941831642
133	0.3936290695
134	0.3927949327
135	0.391917663
136	0.391060422
137	0.3907346432
138	0.3898380526
139	0.3892124514
140	0.3887247953
141	0.3879364623
142	0.3873391266
143	0.3867328624
144	0.3860014482
145	0.3853009159
146	0.3847270546
147	0.3838184503
148	0.3832968552
149	0.3826018906
150	0.3820034572
151	0.3811587736
152	0.3805570221
153	0.3799821834
154	0.3795796493
155	0.378763931
156	0.3777574075
157	0.3766783642
158	0.3757408851
159	0.3750183954
160	0.3745960662
161	0.3740903528
162	0.3737055019
163	0.3732041731
164	0.3726157002
165	0.3720295023
166	0.3714422233
167	0.3707973632
168	0.3702003964
169	0.369856189
170	0.3692961615
171	0.3689682392
172	0.368335451
173	0.3679027889
174	0.3672651863
175	0.3667531075
176	0.3661639586
177	0.3657833811
178	0.3652740126
179	0.3647858705
180	0.3642525389
181	0.3637028226
182	0.3633931762
183	0.3629868451
184	0.3622760071
185	0.3619059969
186	0.3613308792
187	0.3608212269
188	0.3603293843
189	0.3597901949
190	0.3594131594
191	0.3588229042
192	0.3584410474
193	0.3575756393
194	0.3572286166
195	0.356735904
196	0.3561953507
197	0.3556279522
198	0.3550954033
199	0.3548334303
200	0.3542829615
201	0.3540626925
202	0.3536536286
203	0.353082113
204	0.3527525638
205	0.3521507868
206	0.35172767
207	0.3513541202
208	0.3507956717
209	0.3503325511
210	0.3498979368
211	0.3493982159
212	0.3485946791
213	0.3481686213
214	0.3477546656
215	0.3472241029
216	0.3467908164
217	0.3463142209
218	0.3457823459
219	0.3454603199
