iter	Passed	Remaining
0	153	153838
1	155	77520
2	157	52207
3	158	39494
4	159	31816
5	161	26678
6	162	23022
7	163	20295
8	165	18198
9	166	16468
10	168	15131
11	169	13982
12	170	12981
13	172	12131
14	173	11378
15	175	10771
16	176	10185
17	177	9706
18	179	9282
19	180	8868
20	182	8501
21	183	8175
22	185	7887
23	186	7594
24	188	7341
25	189	7115
26	191	6892
27	192	6681
28	193	6485
29	194	6304
30	196	6129
31	197	5966
32	198	5813
33	199	5677
34	201	5556
35	202	5429
36	204	5314
37	205	5212
38	207	5103
39	208	5006
40	209	4910
41	211	4819
42	212	4726
43	213	4645
44	215	4575
45	217	4509
46	218	4434
47	220	4367
48	221	4300
49	222	4231
50	224	4170
51	225	4111
52	226	4050
53	228	3995
54	229	3944
55	230	3888
56	232	3846
57	233	3796
58	234	3748
59	236	3701
60	237	3652
61	238	3605
62	239	3566
63	241	3525
64	242	3485
65	243	3449
66	245	3413
67	246	3380
68	248	3347
69	249	3315
70	250	3280
71	251	3245
72	253	3216
73	254	3189
74	256	3164
75	258	3143
76	260	3120
77	261	3093
78	262	3064
79	264	3045
80	266	3024
81	267	2999
82	269	2978
83	271	2958
84	272	2931
85	274	2912
86	275	2889
87	276	2869
88	278	2848
89	279	2825
90	281	2808
91	281	2780
92	282	2759
93	284	2741
94	285	2722
95	287	2703
96	288	2683
97	289	2664
98	291	2650
99	292	2633
100	293	2614
101	295	2598
102	296	2585
103	298	2569
104	299	2553
105	300	2536
106	302	2525
107	303	2507
108	304	2491
109	306	2478
110	307	2464
111	309	2450
112	310	2438
113	311	2423
114	313	2411
115	314	2398
116	316	2387
117	317	2375
118	318	2360
119	320	2348
120	321	2336
121	323	2324
122	324	2313
123	325	2301
124	326	2288
125	328	2275
126	329	2265
127	330	2254
128	332	2241
129	333	2232
130	335	2224
131	336	2212
132	337	2202
133	339	2193
134	341	2185
135	342	2174
136	343	2166
137	344	2153
138	346	2144
139	347	2133
140	348	2124
141	350	2116
142	351	2107
143	353	2099
144	354	2090
145	355	2082
146	357	2073
147	358	2063
148	359	2055
149	361	2048
150	363	2042
151	364	2034
152	366	2026
153	367	2018
154	368	2009
155	369	2001
156	371	1995
157	373	1988
