iter	RMSE
0	8.608899143
1	8.243079938
2	7.896474229
3	7.568693217
4	7.260321117
5	6.968262922
6	6.692916851
7	6.434759406
8	6.186265756
9	5.954371351
10	5.733566211
11	5.527290134
12	5.331992135
13	5.150258705
14	4.978514735
15	4.81401178
16	4.660810933
17	4.519871862
18	4.38120202
19	4.254803611
20	4.136192931
21	4.02450107
22	3.919358764
23	3.823132572
24	3.730667142
25	3.645513722
26	3.566407148
27	3.49258572
28	3.419913615
29	3.356315944
30	3.293380265
31	3.234692873
32	3.17789642
33	3.122382448
34	3.071617274
35	3.023156375
36	2.976635851
37	2.934766244
38	2.89340702
39	2.853685849
40	2.818114826
41	2.785457157
42	2.750681139
43	2.720293703
44	2.69000133
45	2.665198347
46	2.637676886
47	2.611076604
48	2.584500075
49	2.561205493
50	2.540729367
51	2.519271669
52	2.499065144
53	2.48132486
54	2.463485907
55	2.449455454
56	2.433041021
57	2.419099133
58	2.406006906
59	2.392231618
60	2.379312235
61	2.367065422
62	2.354268482
63	2.343248996
64	2.332366669
65	2.323348712
66	2.314696021
67	2.306565547
68	2.296508772
69	2.288437593
70	2.279404013
71	2.272729285
72	2.264446871
73	2.257088551
74	2.251195601
75	2.245021385
76	2.239008821
77	2.233263591
78	2.228359642
79	2.222822404
80	2.217389395
81	2.211700914
82	2.207430049
83	2.202676271
84	2.198605723
85	2.194646335
86	2.190993311
87	2.187311249
88	2.183493054
89	2.179921442
90	2.175698715
91	2.171911714
92	2.168655998
93	2.166095245
94	2.163427538
95	2.160855807
96	2.158517242
97	2.155477814
98	2.153273335
99	2.150986728
100	2.148583266
101	2.146889643
102	2.14517807
103	2.143079731
104	2.141068957
105	2.138561588
106	2.136859314
107	2.135347931
108	2.133768104
109	2.13235239
110	2.130637171
111	2.129224995
112	2.12746698
113	2.12613485
114	2.124504823
115	2.123335038
116	2.122283495
117	2.12114448
118	2.120109892
119	2.118574778
120	2.117726766
121	2.116501963
122	2.115645607
123	2.114709732
124	2.113787779
125	2.112841158
126	2.111664139
127	2.110848891
128	2.110049279
129	2.109454362
130	2.108723717
131	2.107838834
132	2.106825595
133	2.106101701
134	2.105476208
135	2.1049136
136	2.104330367
137	2.103644966
138	2.102826533
139	2.102371327
140	2.101861766
141	2.101075477
142	2.100628457
143	2.100133317
144	2.09972244
145	2.099142355
146	2.098702248
147	2.098304362
148	2.097901549
149	2.097461975
150	2.09691859
151	2.096516616
152	2.096102862
153	2.095686608
154	2.095261744
155	2.094875659
156	2.094451112
157	2.093979298
158	2.09370133
159	2.093397596
160	2.092836484
161	2.092508649
162	2.092168758
163	2.091934785
164	2.091351721
165	2.091045568
166	2.090815213
167	2.090513457
168	2.090209089
169	2.089839082
170	2.089599187
171	2.089250952
172	2.088977125
173	2.088387831
174	2.088150616
175	2.087904492
176	2.087503064
177	2.087231352
178	2.08700245
179	2.086763138
180	2.086583416
181	2.08637327
182	2.086158269
183	2.085935988
184	2.085753541
185	2.085584867
186	2.085384287
187	2.085228258
188	2.085054106
189	2.084827282
190	2.084612396
191	2.084146681
192	2.08398247
193	2.083854311
194	2.083686875
195	2.083261075
196	2.082849019
197	2.082652214
198	2.08250791
199	2.082299245
200	2.082147046
201	2.08199411
202	2.081813491
203	2.081641407
204	2.081475632
205	2.081319169
206	2.081177962
207	2.081048917
208	2.080906489
209	2.080783907
210	2.080655158
211	2.080521499
212	2.080401779
213	2.080250728
214	2.08008454
215	2.079911935
216	2.079765463
217	2.079579865
218	2.079437859
219	2.079296793
220	2.079145485
221	2.078980477
222	2.078843416
223	2.078634074
224	2.0785079
225	2.078161912
226	2.078046589
227	2.077899469
228	2.077750667
229	2.077577865
230	2.077457093
231	2.07731273
232	2.077183629
233	2.077043088
234	2.076868517
235	2.076772658
236	2.076630341
237	2.076519796
238	2.076355084
239	2.076215613
240	2.076037548
241	2.075889112
242	2.075747191
243	2.075598509
244	2.075493221
245	2.075338069
246	2.075202406
247	2.075067028
248	2.074878247
249	2.074743649
250	2.074581608
251	2.074488258
252	2.074392211
253	2.074236951
254	2.074067206
255	2.073913076
256	2.073781476
257	2.073648084
258	2.073294538
259	2.073159789
260	2.072913735
261	2.072747944
262	2.072591447
263	2.07245188
264	2.072325911
265	2.072035711
266	2.07188249
267	2.071736565
268	2.071616749
269	2.071428289
270	2.071307691
271	2.071157625
272	2.071002439
273	2.070902971
274	2.070737653
275	2.070605933
276	2.070440129
277	2.070304888
278	2.070148439
279	2.070026586
280	2.069914896
281	2.069795982
282	2.069698711
283	2.069446485
284	2.069306715
285	2.069198333
286	2.069059568
287	2.068929795
288	2.068811374
289	2.068577193
290	2.068453316
291	2.068283914
292	2.068162775
293	2.068024871
294	2.067906881
295	2.067801694
296	2.067646719
297	2.067458027
298	2.067319633
299	2.067166096
