iter	Passed	Remaining
0	6	2088
1	13	2068
2	20	2046
3	27	2004
4	33	1981
5	39	1959
6	46	1954
7	53	1938
8	60	1944
9	66	1934
10	73	1931
11	80	1927
12	86	1915
13	93	1907
14	99	1897
15	106	1890
16	113	1896
17	120	1886
18	126	1876
19	133	1868
20	145	1938
21	152	1924
22	158	1911
23	165	1899
24	171	1886
25	178	1876
26	184	1869
27	191	1860
28	198	1850
29	204	1842
30	211	1837
31	218	1831
32	225	1824
33	231	1812
34	238	1804
35	245	1801
36	252	1796
37	259	1789
38	266	1783
39	273	1776
40	280	1770
41	287	1763
42	293	1756
43	300	1750
44	307	1745
45	315	1740
46	321	1732
47	328	1725
48	335	1719
49	342	1713
50	350	1710
51	358	1708
52	365	1703
53	372	1696
54	379	1689
55	386	1683
56	392	1675
57	399	1667
58	406	1661
59	413	1654
60	420	1647
61	427	1640
62	434	1633
63	440	1624
64	447	1617
65	453	1608
66	460	1600
67	466	1592
68	472	1583
69	479	1574
70	485	1565
71	491	1557
72	498	1549
73	504	1540
74	510	1532
75	517	1525
76	523	1516
77	530	1510
78	537	1503
79	544	1496
80	550	1488
81	557	1480
82	564	1474
83	570	1467
84	577	1459
85	583	1452
86	589	1443
87	596	1437
88	603	1430
89	609	1421
90	615	1413
91	621	1406
92	628	1398
93	634	1391
94	640	1382
95	647	1375
96	653	1367
97	659	1359
98	665	1351
99	671	1343
100	678	1336
101	684	1328
102	691	1321
103	698	1315
104	705	1309
105	712	1303
106	720	1299
107	727	1293
108	734	1286
109	741	1280
110	747	1273
111	755	1267
112	762	1261
113	769	1254
114	775	1247
115	782	1241
116	789	1234
117	795	1227
118	802	1220
119	808	1213
120	815	1206
121	822	1200
122	829	1193
123	836	1187
124	843	1180
125	850	1174
126	856	1167
127	863	1160
128	870	1153
129	877	1148
130	884	1141
131	891	1134
132	897	1127
133	904	1119
134	910	1112
135	917	1105
136	923	1099
137	930	1092
138	937	1085
139	945	1080
140	952	1073
141	958	1066
142	965	1059
143	972	1053
144	979	1046
145	986	1040
146	993	1034
147	1000	1027
148	1007	1020
149	1013	1013
150	1020	1007
151	1027	999
152	1034	993
153	1040	986
154	1047	980
155	1053	972
156	1061	966
157	1068	960
158	1075	953
159	1081	946
160	1088	939
161	1094	932
162	1101	925
163	1107	918
164	1114	912
165	1121	904
166	1127	897
167	1133	890
168	1140	884
169	1147	877
170	1153	870
171	1159	863
172	1166	856
173	1173	849
174	1179	842
175	1185	835
176	1192	828
177	1199	822
178	1205	815
179	1212	808
180	1218	801
181	1225	794
182	1231	787
183	1238	780
184	1244	773
185	1251	766
186	1257	759
187	1263	752
188	1269	745
189	1276	738
190	1282	731
191	1288	724
192	1294	717
193	1300	710
194	1307	703
195	1313	697
196	1320	690
197	1327	683
198	1332	676
199	1339	669
200	1345	662
201	1351	655
202	1359	649
203	1365	642
204	1372	635
205	1378	629
206	1384	622
207	1391	615
208	1397	608
209	1404	601
210	1410	595
211	1417	588
212	1423	581
213	1430	574
214	1437	568
215	1444	561
216	1450	554
217	1457	548
218	1463	541
219	1470	534
220	1477	527
221	1483	521
222	1489	514
223	1496	507
224	1503	501
225	1509	494
226	1516	487
227	1522	480
228	1529	474
229	1535	467
230	1541	460
231	1548	453
232	1554	447
233	1560	440
234	1567	433
235	1573	426
236	1580	420
237	1586	413
238	1592	406
239	1599	399
240	1605	393
241	1612	386
242	1618	379
243	1624	372
244	1630	366
245	1636	359
246	1642	352
247	1649	345
248	1656	339
249	1663	332
250	1669	325
251	1675	319
252	1681	312
253	1687	305
254	1693	298
255	1699	292
256	1706	285
257	1712	278
258	1718	272
259	1726	265
260	1733	259
261	1740	252
262	1746	245
263	1753	239
264	1759	232
265	1766	225
266	1772	219
267	1779	212
268	1785	205
269	1792	199
270	1798	192
271	1805	185
272	1812	179
273	1819	172
274	1825	165
275	1831	159
276	1838	152
277	1844	145
278	1851	139
279	1858	132
280	1864	126
281	1871	119
282	1876	112
283	1883	106
284	1889	99
285	1896	92
286	1902	86
287	1909	79
288	1915	72
289	1921	66
290	1928	59
291	1934	53
292	1940	46
293	1946	39
294	1952	33
295	1958	26
296	1965	19
297	1971	13
298	1978	6
299	1984	0
